GenName	ExpressionLevel
GENE.379	8.52037679993645e-09
GENE.380	0.0
GENE.381	5.38487811370045e-06
GENE.382	1.70151923940993e-05
GENE.383	4.17498461399712e-07
GENE.384	7.09747384289999e-06
GENE.385	7.04635158229987e-06
GENE.386	7.26788137820136e-06
GENE.387	1.98524778559882e-06
GENE.388	9.69618875540021e-06
GENE.389	2.26556818106009e-05
GENE.390	2.15054309477998e-05
GENE.391	2.28260893459994e-05
GENE.392	2.28431300993998e-05
GENE.393	2.47261333639007e-05
GENE.394	5.96426374000619e-08
GENE.395	4.2601883800189e-08
GENE.396	1.10764897899573e-07
GENE.397	0.0
GENE.398	2.25789984198005e-05
GENE.399	2.48795001459891e-06
GENE.400	2.48795001450003e-06
GENE.401	6.62885312100077e-06
GENE.402	6.62885312099903e-06
GENE.403	6.62885312100077e-06
GENE.404	6.62885312099903e-06
GENE.405	2.55611303009301e-08
GENE.406	3.23603909427993e-05
GENE.407	3.23603909428011e-05
GENE.408	1.28146466503998e-05
GENE.409	1.31895432279004e-05
GENE.410	6.39965498609001e-05
GENE.411	6.37920608184996e-05
GENE.412	6.37238978044991e-05
GENE.413	6.4022110991201e-05
GENE.414	0.0001547300420015
GENE.415	1.23545463059926e-06
GENE.416	1.87448288700015e-07
GENE.417	2.6413167969995e-07
GENE.418	2.64131679601071e-07
GENE.419	1.5847900777001e-06
GENE.420	3.17810053239963e-06
GENE.421	0.0
GENE.422	8.52037669932248e-09
GENE.423	9.44909782930013e-06
GENE.424	7.66833908993209e-08
GENE.425	5.11222605012462e-08
GENE.426	1.70407535250022e-06
GENE.427	3.46949741755996e-05
GENE.428	3.46694130453993e-05
GENE.429	3.46949741757002e-05
GENE.430	2.00995687819998e-05
GENE.431	5.11222606001255e-08
GENE.432	1.58990230383002e-05
GENE.433	1.57882581403e-05
GENE.434	1.57967785171e-05
GENE.435	9.67062762510101e-06
GENE.436	3.06733563498404e-07
GENE.437	0.0
GENE.438	0.0
GENE.439	0.0
GENE.440	0.0
GENE.441	0.0
GENE.442	0.0
GENE.443	8.52037670105721e-09
